id,nombre,edad,ciudad,fechas,points
1,Usuario_1,21,Arequipa,01/12/1995,45
2,Usuario_2,22,Lima,05/12/1995,43
3,Usuario_3,23,Cusco,08/12/1995,76
4,Usuario_4,24,Tacna,12/12/1995,78
5,Usuario_5,25,Piura,12/12/1995,234
6,Usuario_6,26,Arequipa,24/12/1995,455
7,Usuario_7,27,Lima,05/12/1995,56
8,Usuario_8,28,Cusco,01/12/1995,89
9,Usuario_9,29,Tacna,24/12/1995,53
10,Usuario_10,20,Piura,30/12/1995,44
11,Usuario_11,21,Arequipa,01/12/1995,76
12,Usuario_12,22,Lima,09/12/1995,96
13,Usuario_13,23,Cusco,06/12/1995,32
14,Usuario_14,24,Tacna,04/12/1995,76
15,Usuario_15,25,Piura,01/12/1995,87
16,Usuario_16,26,Arequipa,03/12/1995,23
17,Usuario_17,27,Lima,23/12/1995,56
18,Usuario_18,28,Cusco,22/12/1995,65
19,Usuario_19,29,Tacna,,656
20,Usuario_20,20,Piura,29/12/1995,76
